date__begin,date__end,module_name,clk_per,realops,latency,throughput,critpath,area_mux,area_func,area_logic,area_buffer,area_mem,area_rom,area_reg,area_fsm_reg,area_fsm_comb
1702098045,1702098188,Accelerator,5,995,315,314,3.381318,7858.4,1384.9,1556.3,0.0,0.0,0.0,20157.5,122.0,122.0
1702099307,1702099447,Accelerator,7,995,315,314,3.381318,7858.4,1384.9,1556.3,0.0,0.0,0.0,20157.5,122.0,122.0
1702099519,1702099662,Accelerator,2,995,571,570,2.33649,10500.5,1716.8,2419.2,0.0,0.0,0.0,20503.3,144.0,144.0
1702100983,1702101125,Accelerator,2,995,571,570,2.33649,10500.5,1716.8,2419.2,0.0,0.0,0.0,20503.3,144.0,144.0
